timestamp,gold_value,duriel_ticket_price,varshan_ticket_price
2024-05-19T15:01:12.576371,0.031,0.8376,0.1908
2024-05-19T16:55:37.028942,0.03176,0.8604,0.1908
2024-05-19T19:58:04.974258,0.029999,0.82,0.18285
2024-05-19T20:05:19.777763,0.029899,0.82,0.18285
2024-05-19T20:05:45.159855,0.029899,0.82,0.18285
